sep=;
CH1;CH2;CH3;CH4;Vbat;Trigger;AccX;AccY;AccZ;GyX;GyY;GyZ;N;fs;Timestamp
-648,464448215914;-550,070780527001;-686,01871947165;-295,76742247335;3946;0;-2969;1381;-16380;161;340;51;1806967;500;17:30:37.694309
-1463,13181928527;-1541,5129802697;-1574,26806652034;-1149,61445518832;3946;0;-2969;1381;-16380;161;340;51;1806968;500;17:30:37.694321
-1626,42148552732;-1671,00800953407;-1708,17168590492;-1351,24357044631;3946;0;-2969;1381;-16380;161;340;51;1806969;500;17:30:37.694327
-1465,10113309096;-1549,6463811117;-1619,16601028311;-1244,96778865558;3946;0;-2969;1381;-16380;161;340;51;1806970;500;17:30:37.694334
-1766,68754649397;-1874,71291273164;-1909,17429980516;-1502,80735190099;3946;0;-2982;1399;-16397;145;418;159;1806971;500;17:30:37.694341
-1523,58531057263;-1582,75052015489;-1670,84864811718;-1361,98895097551;3946;0;-2982;1399;-16397;145;418;159;1806972;500;17:30:37.694348
-1726,04850575556;-1782,06960759273;-1807,03653986243;-1515,73341439839;3946;0;-2982;1399;-16397;145;418;159;1806973;500;17:30:37.694356
-1719,65947974735;-1707,8229663796;-1732,82947903314;-1513,3231560905;3946;0;-2982;1399;-16397;145;418;159;1806974;500;17:30:37.694365
-1301,34563617562;-1216,04504767817;-1277,93310606698;-1092,88757150772;3946;0;-2982;1399;-16397;145;418;159;1806975;500;17:30:37.694375
-1671,85685553983;-1670,94628367082;-1653,281767919;-1478,38937805269;3946;0;-2982;1399;-16397;145;418;159;1806976;500;17:30:37.694384
-1147,42901877458;-1005,70512610256;-1048,86920772187;-959,99221389555;3946;0;-2982;1399;-16397;145;418;159;1806977;500;17:30:37.694396
-902,807997930458;-793,943171416621;-776,915654465283;-667,876084554963;3946;0;-2982;1399;-16397;145;418;159;1806978;500;17:30:37.694404
-136,532979119313;47,4261105178721;-2,06556012092847;41,265169354602;3946;0;-2982;1399;-16397;145;418;159;1806979;500;17:30:37.694415
794,668819301223;1032,40423737329;905,261183116806;955,28071492655;3946;0;-2982;1399;-16397;145;418;159;1806980;500;17:30:37.694425
1418,16826852818;1661,3183156212;1541,58198419231;1708,54892195744;3946;0;-2936;1405;-16396;131;421;158;1806981;500;17:30:37.694435
2157,90366218338;2380,32093545781;2203,00203425226;2458,33643152868;3946;0;-2936;1405;-16396;131;421;158;1806982;500;17:30:37.694446
2434,8926460639;2607,30890503116;2425,59791855908;2770,3279812244;3946;0;-2936;1405;-16396;131;421;158;1806983;500;17:30:37.694457
2558,11455323826;2678,50843364451;2535,90140011286;2875,85613338124;3946;0;-2936;1405;-16396;131;421;158;1806984;500;17:30:37.694469
2662,26843206952;2802,48761888313;2679,47879041874;3011,64373930461;3946;0;-2936;1405;-16396;131;421;158;1806985;500;17:30:37.694481
2788,60146295597;2903,94554618896;2779,32954079272;3097,34230488114;3946;0;-2936;1405;-16396;131;421;158;1806986;500;17:30:37.694493
2668,70002240359;2720,12454219113;2618,11711154181;2999,44359884995;3946;0;-2936;1405;-16396;131;421;158;1806987;500;17:30:37.694508
1768,55788455502;1663,83778148046;1703,28434250847;2101,97939504745;3946;0;-2936;1405;-16396;131;421;158;1806988;500;17:30:37.694522
880,682326938692;682,32736559064;826,646292197543;1098,38751351562;3946;0;-2936;1405;-16396;131;421;158;1806989;500;17:30:37.694544
-71,2233328482291;-413,71691974377;-179,31615349051;-8,84668173508108;3946;0;-2936;1405;-16396;131;421;158;1806990;500;17:30:37.694559
60,5668641309944;-104,814219231217;62,5708451789023;82,9601719864906;3946;0;-2856;1422;-16387;130;343;151;1806991;500;17:30:37.697545
-911,760236725492;-1157,05885740293;-843,490336583516;-795,798065962809;3946;0;-2856;1422;-16387;130;343;151;1806992;500;17:30:37.697560
-926,442373568464;-1003,32454289861;-709,112187042225;-791,449554461035;3946;0;-2856;1422;-16387;130;343;151;1806993;500;17:30:37.697575
-1319,83021816767;-1503,05338212778;-1104,75120867133;-1119,78743776213;3946;0;-2856;1422;-16387;130;343;151;1806994;500;17:30:37.697589
-987,536453060674;-1082,69951829184;-738,154263072708;-798,22177112975;3946;0;-2856;1422;-16387;130;343;151;1806995;500;17:30:37.697606
-1075,73594563772;-1220,83584917659;-829,342545709386;-787,142768657499;3946;0;-2856;1422;-16387;130;343;151;1806996;500;17:30:37.697620
-990,820438161667;-1127,13845506565;-730,4855106108;-696,002950228224;3946;0;-2856;1422;-16387;130;343;151;1806997;500;17:30:37.697634
-1451,6210600443;-1753,26640521119;-1293,45689435159;-1271,5531811833;3946;0;-2856;1422;-16387;130;343;151;1806998;500;17:30:37.697648
-1336,7996029295;-1517,78263315462;-1105,82014492507;-1156,87370814256;3946;0;-2856;1422;-16387;130;343;151;1806999;500;17:30:37.697661
-1371,77443570166;-1608,62230751256;-1170,07324219849;-1090,16261841621;3946;0;-2856;1422;-16387;130;343;151;1807000;500;17:30:37.697675
-1286,15775061453;-1546,01349617751;-1121,25157961975;-1020,61952754996;3946;0;-2810;1429;-16363;126;260;158;1807001;500;17:30:37.697689
-1309,0778000226;-1674,0247271576;-1204,47536106576;-1084,94583815551;3946;0;-2810;1429;-16363;126;260;158;1807002;500;17:30:37.697701
-1075,61713202968;-1366,29378135876;-938,012967917276;-817,804870389208;3946;0;-2810;1429;-16363;126;260;158;1807003;500;17:30:37.697713
