sep=;
CH1;CH2;CH3;CH4;Vbat;Trigger;AccX;AccY;AccZ;GyX;GyY;GyZ;N;fs;Timestamp
-782,605864770462;-701,521597090525;-800,842090141527;-983,904823683843;3950;0;-4664;1259;-15929;85;369;-106;1773267;500;17:29:30.289355
-629,008332843894;-482,471273732129;-619,226837435763;-940,247230140234;3950;0;-4664;1259;-15929;85;369;-106;1773268;500;17:29:30.289376
-1025,87882639398;-959,152560088467;-1039,82605848764;-1339,3095425631;3950;0;-4664;1259;-15929;85;369;-106;1773269;500;17:29:30.289382
-796,331435090198;-663,597855692684;-836,235219838644;-1217,74556296128;3950;0;-4664;1259;-15929;85;369;-106;1773270;500;17:29:30.289388
-344,013965106335;-202,29370106283;-462,731061477193;-745,42185518094;3951;0;-4666;1253;-15915;54;403;-98;1773271;500;17:29:30.289448
-807,899857178732;-786,16732018259;-961,787714838907;-1208,13198611595;3951;0;-4666;1253;-15915;54;403;-98;1773272;500;17:29:30.289455
-1405,05616985427;-1464,27142275687;-1528,22019763131;-1837,61841461613;3951;0;-4666;1253;-15915;54;403;-98;1773273;500;17:29:30.289462
-2064,70456577259;-2141,45363115903;-2131,30735484469;-2501,07573888165;3951;0;-4666;1253;-15915;54;403;-98;1773274;500;17:29:30.289472
-2066,08076029536;-2042,64137514333;-2072,03214735857;-2493,40513762575;3951;0;-4666;1253;-15915;54;403;-98;1773275;500;17:29:30.289479
-1415,40211511518;-1229,29335661282;-1439,20210612198;-1807,33015251815;3951;0;-4666;1253;-15915;54;403;-98;1773276;500;17:29:30.289488
-938,5726497622;-765,922814205326;-1018,9327208682;-1349,10760747593;3951;0;-4666;1253;-15915;54;403;-98;1773277;500;17:29:30.289497
-924,160802121264;-758,85758406256;-989,956246823326;-1379,809600944;3951;0;-4666;1253;-15915;54;403;-98;1773278;500;17:29:30.289506
-820,70214393523;-653,056251925117;-854,068930454213;-1206,89541125549;3951;0;-4666;1253;-15915;54;403;-98;1773279;500;17:29:30.289516
-530,299433880051;-310,793564667463;-535,017433474661;-905,05721844767;3951;0;-4666;1253;-15915;54;403;-98;1773280;500;17:29:30.289527
-1086,66399663141;-1026,08764759667;-1155,46652024287;-1460,01272728842;3951;0;-4668;1273;-15900;105;463;-75;1773281;500;17:29:30.289537
-1840,31048298713;-1788,55670154326;-1865,7380030735;-2192,25264057265;3951;0;-4668;1273;-15900;105;463;-75;1773282;500;17:29:30.289548
-1691,23251460424;-1552,23985692009;-1725,7393976484;-2077,22496763849;3951;0;-4668;1273;-15900;105;463;-75;1773283;500;17:29:30.289560
-1477,46055194153;-1292,32411696997;-1517,35296485255;-1910,41426966101;3951;0;-4668;1273;-15900;105;463;-75;1773284;500;17:29:30.289572
