sep=;
CH1;CH2;CH3;CH4;Vbat;Trigger;AccX;AccY;AccZ;GyX;GyY;GyZ;N;fs;Timestamp
-2650,39984505715;-2809,14531697302;-2512,09015756667;-2518,87192639282;3924;0;-5097;856;-15818;-7;292;60;1900007;500;17:33:44.032380
-2586,4225287606;-2765,81467044242;-2473,61734271696;-2451,90517295204;3924;0;-5097;856;-15818;-7;292;60;1900008;500;17:33:44.032402
-1959,8463958709;-2011,86870171389;-1829,09242976907;-1868,9642930889;3924;0;-5097;856;-15818;-7;292;60;1900009;500;17:33:44.032409
-2292,01438438058;-2493,38375116097;-2212,89777041201;-2140,01489761248;3924;0;-5097;856;-15818;-7;292;60;1900010;500;17:33:44.032416
-2049,02899406013;-2208,7058320473;-1906,73860507112;-1960,65159840374;3924;0;-5120;878;-15834;6;351;-17;1900011;500;17:33:44.032423
-1997,57822960366;-2228,88881115702;-1877,78137807686;-1929,29776032442;3924;0;-5120;878;-15834;6;351;-17;1900012;500;17:33:44.032431
-2338,98624165462;-2596,53547367036;-2230,16845402809;-2239,13014335427;3924;0;-5120;878;-15834;6;351;-17;1900013;500;17:33:44.032439
-2357,91032159185;-2640,49643637832;-2269,0640744988;-2369,37882941211;3924;0;-5120;878;-15834;6;351;-17;1900014;500;17:33:44.032448
-2086,44915203483;-2282,21942258469;-1956,65364675212;-2147,89575351896;3924;0;-5120;878;-15834;6;351;-17;1900015;500;17:33:44.032456
-1410,34500472563;-1526,5305566752;-1325,32776110717;-1602,56926373148;3924;0;-5120;878;-15834;6;351;-17;1900016;500;17:33:44.032465
-1441,48059182461;-1596,59565925315;-1293,49306240347;-1493,2394695987;3924;0;-5120;878;-15834;6;351;-17;1900017;500;17:33:44.032475
-2163,88004109194;-2441,71078020603;-2030,95895398069;-2193,29700163315;3924;0;-5120;878;-15834;6;351;-17;1900018;500;17:33:44.032484
-2535,63259560529;-2757,17520043199;-2342,77079233217;-2612,66364319434;3924;0;-5120;878;-15834;6;351;-17;1900019;500;17:33:44.032494
-2239,9629952282;-2359,41088647454;-1983,56137666265;-2379,97362500232;3924;0;-5120;878;-15834;6;351;-17;1900020;500;17:33:44.032504
-2468,60369195403;-2539,65124049693;-2153,81332901426;-2526,95846785332;3924;0;-5094;898;-15823;57;314;-49;1900021;500;17:33:44.032515
-2500,6838959015;-2602,32588858929;-2320,38511052115;-2745,86361843263;3924;0;-5094;898;-15823;57;314;-49;1900022;500;17:33:44.032526
-1830,97863971314;-1829,31517722148;-1642,75393182551;-2221,54757909437;3924;0;-5094;898;-15823;57;314;-49;1900023;500;17:33:44.032539
-1590,88301187271;-1628,06868291499;-1436,83867662161;-2072,6460913012;3924;0;-5094;898;-15823;57;314;-49;1900024;500;17:33:44.032552
-1357,68212077827;-1406,30999908464;-1223,35409496519;-1933,48223415517;3924;0;-5094;898;-15823;57;314;-49;1900025;500;17:33:44.032566
-1638,1831940357;-1824,79485187512;-1536,0072287829;-2201,39326711934;3924;0;-5094;898;-15823;57;314;-49;1900026;500;17:33:44.032580
-1304,02950348537;-1461,81407630535;-1268,35550055845;-2022,92276898675;3924;0;-5094;898;-15823;57;314;-49;1900027;500;17:33:44.032594
-1525,8084206352;-1760,1046624089;-1609,63149886435;-2283,58875561494;3924;0;-5094;898;-15823;57;314;-49;1900028;500;17:33:44.032609
-1551,82856891803;-1749,68131939129;-1572,07318381414;-2235,89490072729;3924;0;-5094;898;-15823;57;314;-49;1900029;500;17:33:44.032622
-1689,50378429198;-1983,06135906471;-1776,56153130251;-2418,81590156096;3924;0;-5094;898;-15823;57;314;-49;1900030;500;17:33:44.032637
-1279,77827602989;-1455,73805648847;-1359,63590715328;-2050,61931980245;3924;0;-5082;890;-15823;7;321;-32;1900031;500;17:33:44.032651
-819,755617565972;-955,963234645449;-908,263813057558;-1623,33067611189;3924;0;-5082;890;-15823;7;321;-32;1900032;500;17:33:44.032664
