sep=;
CH1;CH2;CH3;CH4;Vbat;Trigger;AccX;AccY;AccZ;GyX;GyY;GyZ;N;fs;Timestamp
-2001,81181080386;-1991,91464586011;-1666,48035202256;-594,065933639405;3957;0;-7559;2738;-14744;307;-107;-46;1691375;500;17:26:46.541474
-1665,06362074608;-1648,68281266408;-1321,547812064;-92,225636256242;3957;0;-7559;2738;-14744;307;-107;-46;1691376;500;17:26:46.541487
-673,048981013139;-481,794229522822;-314,685365934376;1008,30557936385;3957;0;-7559;2738;-14744;307;-107;-46;1691377;500;17:26:46.541493
-446,544358766678;-421,656852347495;-245,449798095093;1188,14586057118;3957;0;-7559;2738;-14744;307;-107;-46;1691378;500;17:26:46.541501
181,041934595733;327,560036509192;427,882195987123;1781,49822568281;3957;0;-7559;2738;-14744;307;-107;-46;1691379;500;17:26:46.541507
555,208925135974;697,823849188241;819,028229838157;2235,42099078514;3957;0;-7559;2738;-14744;307;-107;-46;1691380;500;17:26:46.541515
721,442990548809;858,06875638614;976,2411726905;2333,63483989698;3957;0;-7552;2661;-14733;672;13;330;1691381;500;17:26:46.541522
193,655843134801;139,480660258032;400,552463350133;1753,10107445032;3957;0;-7552;2661;-14733;672;13;330;1691382;500;17:26:46.541531
78,6736564956635;42,3511195421191;336,986253216842;1642,06001997581;3957;0;-7552;2661;-14733;672;13;330;1691383;500;17:26:46.541539
-647,149785338496;-828,52436067877;-431,104784746614;856,6646457889;3957;0;-7552;2661;-14733;672;13;330;1691384;500;17:26:46.541547
-854,996948778232;-1021,14198972212;-585,31562685122;618,311273316231;3957;0;-7552;2661;-14733;672;13;330;1691385;500;17:26:46.541556
-1643,98469383187;-1948,56009428311;-1434,31685348438;-200,571407777135;3957;0;-7552;2661;-14733;672;13;330;1691386;500;17:26:46.541565
-1702,50139578094;-1880,44633191679;-1435,49571717949;-344,563868249821;3957;0;-7552;2661;-14733;672;13;330;1691387;500;17:26:46.541585
-1662,30137435281;-1770,75878256714;-1375,31152874591;-260,989882143372;3957;0;-7552;2661;-14733;672;13;330;1691388;500;17:26:46.541595
-1730,04519938416;-1753,31921034275;-1361,65103313371;-154,389453408656;3957;0;-7552;2661;-14733;672;13;330;1691389;500;17:26:46.541605
-2293,69267801279;-2432,15637134834;-1913,85229354938;-741,19799975095;3957;0;-7552;2661;-14733;672;13;330;1691390;500;17:26:46.541616
-1890,20225219801;-1903,69294702671;-1449,45893675751;-331,313523934733;3957;0;-7570;2496;-14739;965;212;394;1691391;500;17:26:46.541627
-1411,55598942759;-1433,72970839799;-1068,26869069053;117,63975943565;3957;0;-7570;2496;-14739;965;212;394;1691392;500;17:26:46.541638
-842,545851646362;-824,152121894849;-484,036189782955;660,066646561146;3957;0;-7570;2496;-14739;965;212;394;1691393;500;17:26:46.541650
16,0676497855198;98,834554511543;382,013435767104;1573,21993893239;3957;0;-7570;2496;-14739;965;212;394;1691394;500;17:26:46.541663
608,824406155863;724,298237504927;968,172118222908;2126,69831909267;3957;0;-7570;2496;-14739;965;212;394;1691395;500;17:26:46.541675
1155,21661469538;1280,52895842233;1458,50076259656;2563,68812320459;3957;0;-7570;2496;-14739;965;212;394;1691396;500;17:26:46.541689
1319,0397867367;1395,39009089712;1603,27875065527;2722,06842503621;3957;0;-7570;2496;-14739;965;212;394;1691397;500;17:26:46.541701
695,467042665645;550,611240479903;882,837492956863;1942,86282309872;3957;0;-7570;2496;-14739;965;212;394;1691398;500;17:26:46.541714
656,319995666145;510,941793014626;838,121432127464;1850,38850068524;3957;0;-7570;2496;-14739;965;212;394;1691399;500;17:26:46.541728
763,096069255619;610,855591726932;875,850909260156;1913,7880080856;3957;0;-7570;2496;-14739;965;212;394;1691400;500;17:26:46.541742
1061,25030076939;952,122899871545;1187,34381455587;2227,26951409985;3957;0;-7540;2316;-14736;1201;439;244;1691401;500;17:26:46.541756
504,016372592585;271,344117607925;587,296417399255;1621,58542679108;3957;0;-7540;2316;-14736;1201;439;244;1691402;500;17:26:46.541771
659,922291592046;548,679821700026;757,180885754582;1688,76239582296;3957;0;-7540;2316;-14736;1201;439;244;1691403;500;17:26:46.541786
346,244393114176;115,454580790593;339,452271785738;1224,3938927488;3957;0;-7540;2316;-14736;1201;439;244;1691404;500;17:26:46.541802
203,73891929394;-3,50168505118192;144,114650048075;978,322436668701;3957;0;-7540;2316;-14736;1201;439;244;1691405;500;17:26:46.541820
5,10110406066591;-270,923830461772;-103,310108852175;748,173049098215;3957;0;-7540;2316;-14736;1201;439;244;1691406;500;17:26:46.541836
19,2613481284522;-185,89340132852;-17,2656466477427;803,215521252984;3957;0;-7540;2316;-14736;1201;439;244;1691407;500;17:26:46.541853
61,3239569241843;-137,062405523245;76,7918869132403;937,189491462843;3957;0;-7540;2316;-14736;1201;439;244;1691408;500;17:26:46.541879
382,882565646816;263,357288695099;457,804637514906;1232,42877509596;3957;0;-7540;2316;-14736;1201;439;244;1691409;500;17:26:46.541896
331,595963044222;104,594714261184;348,233532346458;1127,50838988415;3957;0;-7540;2316;-14736;1201;439;244;1691410;500;17:26:46.541914
193,608773829307;2,77110596241362;309,447681700462;1021,40912794659;3957;0;-7482;2170;-14706;1368;531;62;1691411;500;17:26:46.541932
584,323840379412;414,292364124198;686,928524276389;1377,13280877837;3957;0;-7482;2170;-14706;1368;531;62;1691412;500;17:26:46.541949
408,64396255203;221,701815613805;536,689551618106;1262,6669807255;3957;0;-7482;2170;-14706;1368;531;62;1691413;500;17:26:46.541966
-147,918985738521;-432,120759156457;-68,781546420573;667,210327979098;3957;0;-7482;2170;-14706;1368;531;62;1691414;500;17:26:46.541985
-99,9757573917095;-315,705441847889;27,2188757576862;716,250822458847;3957;0;-7482;2170;-14706;1368;531;62;1691415;500;17:26:46.542004
-409,45852591974;-674,564031116482;-306,278917165703;422,980003129527;3959;0;-7482;2170;-14706;1368;531;62;1691416;500;17:26:46.542022
168,659045690274;26,8116076812961;264,24636177444;952,038697289454;3959;0;-7482;2170;-14706;1368;531;62;1691417;500;17:26:46.542041
677,162418407333;533,104839766695;762,428022291766;1476,19082624726;3959;0;-7482;2170;-14706;1368;531;62;1691418;500;17:26:46.542061
997,928156203518;900,098373383992;1121,16246746761;1912,51343981549;3959;0;-7482;2170;-14706;1368;531;62;1691419;500;17:26:46.542081
1334,08198840011;1301,55452461566;1473,15348113637;2281,42862127099;3959;0;-7482;2170;-14706;1368;531;62;1691420;500;17:26:46.542101
2443,61906371778;2573,60310703177;2523,79498532312;3427,45680037467;3959;0;-7413;2062;-14700;1453;627;106;1691421;500;17:26:46.542123
2299,34093026248;2261,57045225706;2324,93585556809;3297,92440071073;3959;0;-7413;2062;-14700;1453;627;106;1691422;500;17:26:46.542145
2626,69960817993;2646,91908219993;2689,6719934701;3614,14720763682;3959;0;-7413;2062;-14700;1453;627;106;1691423;500;17:26:46.542176
2742,42530356712;2697,76675177661;2746,40421924592;3744,29436076125;3959;0;-7413;2062;-14700;1453;627;106;1691424;500;17:26:46.542197
2658,53979849166;2596,08987198174;2679,66420856833;3623,76917894891;3959;0;-7413;2062;-14700;1453;627;106;1691425;500;17:26:46.542219
2114,46533997024;1928,68844304965;2174,78169330271;3037,75094210883;3959;0;-7413;2062;-14700;1453;627;106;1691426;500;17:26:46.542242
1600,8076792066;1411,87279805027;1718,49294019297;2474,12645085145;3959;0;-7413;2062;-14700;1453;627;106;1691427;500;17:26:46.542265
1248,34878120875;1056,10046697667;1354,16486520895;2056,07421642691;3959;0;-7413;2062;-14700;1453;627;106;1691428;500;17:26:46.542288
1767,71066654558;1700,413374878;1912,96447583878;2627,31239425166;3959;0;-7413;2062;-14700;1453;627;106;1691429;500;17:26:46.542312
1286,27950169633;1047,05113045297;1377,82153741471;2118,84413632782;3959;0;-7413;2062;-14700;1453;627;106;1691430;500;17:26:46.542336
971,607866177649;761,442280874842;1134,28441985313;1792,38081918056;3959;0;-7389;1927;-14711;1435;620;363;1691431;500;17:26:46.542692
677,375482716908;448,991241896687;844,122703223535;1532,65490161591;3959;0;-7389;1927;-14711;1435;620;363;1691432;500;17:26:46.542723
506,958463784992;329,608118506924;752,45309411605;1461,06328666349;3959;0;-7389;1927;-14711;1435;620;363;1691433;500;17:26:46.542760
303,801062785338;90,4754155401753;511,649489073829;1209,37135768591;3959;0;-7389;1927;-14711;1435;620;363;1691434;500;17:26:46.542786
-201,496116859198;-413,293190800173;35,0329332383265;712,666856707236;3959;0;-7389;1927;-14711;1435;620;363;1691435;500;17:26:46.542810
-2,25191798888538;-145,557160644237;246,444268720952;924,080768594391;3959;0;-7389;1927;-14711;1435;620;363;1691436;500;17:26:46.542836
145,200386467964;36,0150701087827;443,092203762855;1161,97187399127;3959;0;-7389;1927;-14711;1435;620;363;1691437;500;17:26:46.542862
-187,140797339752;-354,706167268763;104,955890302573;814,447055417697;3959;0;-7389;1927;-14711;1435;620;363;1691438;500;17:26:46.542889
25,6102295343509;-51,5902828039463;339,135413700055;1017,7927782621;3959;0;-7389;1927;-14711;1435;620;363;1691439;500;17:26:46.542915
239,711927291449;161,591077840596;551,016597489225;1203,32530839997;3959;0;-7389;1927;-14711;1435;620;363;1691440;500;17:26:46.542941
905,467230711696;960,175743584484;1263,43217960855;1860,25232053174;3959;0;-7420;1687;-14773;1405;649;425;1691441;500;17:26:46.542967
1708,66333914028;1779,83808457991;1942,03032478488;2585,01225495305;3959;0;-7420;1687;-14773;1405;649;425;1691442;500;17:26:46.542994
1961,9503484009;2007,16113951875;2157,78455223594;2821,39659997665;3959;0;-7420;1687;-14773;1405;649;425;1691443;500;17:26:46.543021
1481,20701710157;1413,19602723858;1675,10119969883;2312,67853570131;3959;0;-7420;1687;-14773;1405;649;425;1691444;500;17:26:46.543059
1519,68761092328;1507,83160224827;1772,63047133375;2348,82953951168;3959;0;-7420;1687;-14773;1405;649;425;1691445;500;17:26:46.543087
1393,70748471376;1318,32286970645;1578,65904718091;2147,39049005496;3959;0;-7420;1687;-14773;1405;649;425;1691446;500;17:26:46.543115
1385,36554613411;1332,24845342497;1595,56770318598;2118,47212819374;3959;0;-7420;1687;-14773;1405;649;425;1691447;500;17:26:46.543143
1378,52881590032;1289,66648479953;1470,85772898766;1982,60137251619;3959;0;-7420;1687;-14773;1405;649;425;1691448;500;17:26:46.543172
1341,7761862952;1279,82343871959;1417,00628155238;1966,55986670117;3959;0;-7420;1687;-14773;1405;649;425;1691449;500;17:26:46.543202
653,249073875773;493,861009781014;654,296153568325;1204,9626949785;3959;0;-7420;1687;-14773;1405;649;425;1691450;500;17:26:46.543233
328,3812981023;150,505806256576;366,597848686095;855,863050834494;3959;0;-7410;1454;-14830;1182;753;336;1691451;500;17:26:46.543263
