sep=;
CH1;CH2;CH3;CH4;Vbat;Trigger;AccX;AccY;AccZ;GyX;GyY;GyZ;N;fs;Timestamp
-10999,7999916268;-11446,3626941511;-11127,2443367431;-10124,3886894138;3944;0;-4197;1480;-16015;180;125;-96;1827593;500;17:31:18.923457
-11428,3960549429;-11878,9111006676;-11494,4884565856;-10658,8774569591;3944;0;-4197;1480;-16015;180;125;-96;1827594;500;17:31:18.923469
-10937,0729318535;-11335,7703135992;-10979,3147082544;-10263,3110548068;3944;0;-4197;1480;-16015;180;125;-96;1827595;500;17:31:18.923476
-11253,4048063254;-11694,3536815971;-11292,002207742;-10512,0309486435;3944;0;-4197;1480;-16015;180;125;-96;1827596;500;17:31:18.923482
-11062,9127066727;-11439,0694209114;-11058,8948749829;-10364,3436427231;3944;0;-4197;1480;-16015;180;125;-96;1827597;500;17:31:18.923489
-10702,5295798948;-10998,9579992918;-10691,4569555684;-10042,6870996392;3944;0;-4197;1480;-16015;180;125;-96;1827598;500;17:31:18.923495
-10661,1558586581;-11022,4226468968;-10718,3565696563;-10036,5587797413;3944;0;-4197;1480;-16015;180;125;-96;1827599;500;17:31:18.923503
-11167,1792845079;-11644,9016401746;-11188,507106393;-10499,5324485135;3944;0;-4197;1480;-16015;180;125;-96;1827600;500;17:31:18.923511
-10888,3670427098;-11335,9674647381;-10897,1658816038;-10268,9857175238;3944;0;-4239;1484;-16002;175;118;-90;1827601;500;17:31:18.923519
-10409,362448364;-10743,6308552925;-10391,6260091487;-9806,28953595551;3944;0;-4239;1484;-16002;175;118;-90;1827602;500;17:31:18.923526
-10024,7577672283;-10348,1812079215;-10025,1029330167;-9434,95532846402;3944;0;-4239;1484;-16002;175;118;-90;1827603;500;17:31:18.923535
-10034,0216654885;-10374,894255605;-10075,9365631804;-9473,81828951906;3944;0;-4239;1484;-16002;175;118;-90;1827604;500;17:31:18.923544
-10580,0825501856;-11028,4758652039;-10681,5783208843;-9992,4063571398;3944;0;-4239;1484;-16002;175;118;-90;1827605;500;17:31:18.923555
-10929,7352135981;-11379,7348711004;-11029,792485395;-10397,8830382569;3944;0;-4239;1484;-16002;175;118;-90;1827606;500;17:31:18.923570
-10670,8485118088;-11072,2163328383;-10775,4396055582;-10228,8644194952;3944;0;-4239;1484;-16002;175;118;-90;1827607;500;17:31:18.923584
-10576,7138865924;-10926,5774074942;-10652,0183268202;-10046,2188262506;3944;0;-4239;1484;-16002;175;118;-90;1827608;500;17:31:18.923596
-10359,2976971806;-10705,0031168588;-10471,9703853541;-9942,90867406967;3944;0;-4239;1484;-16002;175;118;-90;1827609;500;17:31:18.923609
-10193,875883352;-10466,478953565;-10304,7893194976;-9739,99168824668;3944;0;-4239;1484;-16002;175;118;-90;1827610;500;17:31:18.923623
-9879,26285065124;-10113,7108262437;-10030,762047848;-9414,0250691329;3944;0;-4303;1501;-15979;229;203;-51;1827611;500;17:31:18.923642
-10906,2253047277;-11374,5507639809;-11139,7062754155;-10377,2186450986;3944;0;-4303;1501;-15979;229;203;-51;1827612;500;17:31:18.923659
-11271,5958017125;-11772,0168310639;-11518,6096209894;-10764,9462801251;3944;0;-4303;1501;-15979;229;203;-51;1827613;500;17:31:18.923677
-11652,5403613995;-12128,1428726107;-11866,6589316667;-11100,1838981745;3944;0;-4303;1501;-15979;229;203;-51;1827614;500;17:31:18.923704
-11190,7150039873;-11530,3939119637;-11399,9669403584;-10675,4031322752;3944;0;-4303;1501;-15979;229;203;-51;1827615;500;17:31:18.923725
-11443,9760324017;-11867,4934465969;-11698,3338032629;-10903,2378397264;3944;0;-4303;1501;-15979;229;203;-51;1827616;500;17:31:18.923749
-11426,6236402815;-11838,385460083;-11642,1233713796;-10897,0470240104;3944;0;-4303;1501;-15979;229;203;-51;1827617;500;17:31:18.923776
-12238,5601328309;-12793,403774178;-12482,2260813768;-11723,1089149725;3944;0;-4303;1501;-15979;229;203;-51;1827618;500;17:31:18.923803
-11727,6079103122;-12139,6648396164;-11950,0253827323;-11276,5990003584;3944;0;-4303;1501;-15979;229;203;-51;1827619;500;17:31:18.923831
-11128,0992065322;-11444,0956907365;-11301,9823260733;-10634,2159065025;3944;0;-4303;1501;-15979;229;203;-51;1827620;500;17:31:18.923863
-10773,7815370394;-11085,4790768803;-10975,3543504155;-10342,2044917442;3944;0;-4302;1487;-15970;202;226;-17;1827621;500;17:31:18.923896
-10804,4540069964;-11113,4868487927;-10971,3720863393;-10281,617506028;3944;0;-4302;1487;-15970;202;226;-17;1827622;500;17:31:18.923930
-10607,2154448745;-10873,6789561767;-10767,7246905578;-10032,6363879315;3944;0;-4302;1487;-15970;202;226;-17;1827623;500;17:31:18.923961
-10865,258287174;-11193,5101648645;-11046,2063349285;-10337,7469242347;3944;0;-4302;1487;-15970;202;226;-17;1827624;500;17:31:18.924002
-10461,0770832555;-10746,6960160661;-10603,0691471413;-9977,14296280769;3944;0;-4302;1487;-15970;202;226;-17;1827625;500;17:31:18.924039
-10479,5026733682;-10764,2502477628;-10583,7100174093;-9934,47961362066;3944;0;-4302;1487;-15970;202;226;-17;1827626;500;17:31:18.924077
-10508,3121866674;-10835,2621723825;-10661,4568623394;-9997,70872482003;3944;0;-4302;1487;-15970;202;226;-17;1827627;500;17:31:18.924115
-11151,2562765157;-11546,5741609628;-11316,4192113469;-10674,6284101693;3944;0;-4302;1487;-15970;202;226;-17;1827628;500;17:31:18.924142
-11321,1836152112;-11691,9080453938;-11427,0921493111;-10867,9765503222;3944;0;-4302;1487;-15970;202;226;-17;1827629;500;17:31:18.924169
-12112,9326285579;-12595,078224204;-12272,2262876662;-11611,6215397623;3944;0;-4302;1487;-15970;202;226;-17;1827630;500;17:31:18.924189
-12522,2266273714;-13021,3728293462;-12659,9073107262;-11938,3673766208;3944;0;-4301;1473;-15982;266;153;-20;1827631;500;17:31:18.924208
-12346,5576122312;-12689,7373319137;-12455,4579787725;-11783,8260769166;3944;0;-4301;1473;-15982;266;153;-20;1827632;500;17:31:18.924226
-11796,0911677606;-12085,9160693905;-11964,1241089983;-11300,5193866217;3944;0;-4301;1473;-15982;266;153;-20;1827633;500;17:31:18.924247
-11104,0311273725;-11327,3467191234;-11195,5615878019;-10517,4040782197;3944;0;-4301;1473;-15982;266;153;-20;1827634;500;17:31:18.924281
-10803,3529253147;-11010,0637176336;-10952,5235069113;-10188,1311912017;3944;0;-4301;1473;-15982;266;153;-20;1827635;500;17:31:18.924310
-10456,9356803983;-10581,4138746809;-10536,7571933082;-9799,17722753923;3944;0;-4301;1473;-15982;266;153;-20;1827636;500;17:31:18.924338
-10593,3952323953;-10778,5430001427;-10686,56307995;-9925,43960680593;3944;0;-4301;1473;-15982;266;153;-20;1827637;500;17:31:18.924736
-10017,7172650588;-10109,8556478583;-10100,546901712;-9256,98963329814;3944;0;-4301;1473;-15982;266;153;-20;1827638;500;17:31:18.924763
-10226,0192627469;-10455,3659429634;-10429,9492348713;-9336,14781203351;3944;0;-4301;1473;-15982;266;153;-20;1827639;500;17:31:18.924785
-10430,9275078932;-10670,4021058502;-10686,1627819386;-9656,00340285451;3944;0;-4301;1473;-15982;266;153;-20;1827640;500;17:31:18.924807
-10477,9666186813;-10727,3883836415;-10825,8069417407;-9772,7539290116;3944;0;-4374;1423;-16010;221;187;-32;1827641;500;17:31:18.924828
-10468,0399700985;-10719,9171975659;-10827,1048751622;-9916,44800022725;3944;0;-4374;1423;-16010;221;187;-32;1827642;500;17:31:18.924850
-9961,20896814277;-10147,635176387;-10333,591279728;-9467,36984132383;3944;0;-4374;1423;-16010;221;187;-32;1827643;500;17:31:18.924880
-10024,7614919536;-10200,3312894802;-10360,2464677417;-9458,40997963561;3944;0;-4374;1423;-16010;221;187;-32;1827644;500;17:31:18.924904
-10478,7377803625;-10765,6401360085;-10761,9278174533;-9881,01283111539;3944;0;-4374;1423;-16010;221;187;-32;1827645;500;17:31:18.924927
-10451,1475684293;-10693,5147882661;-10717,0291178023;-9898,34107305983;3944;0;-4374;1423;-16010;221;187;-32;1827646;500;17:31:18.924952
-10672,3508225248;-10913,6542079672;-10951,7115535829;-10110,3787089427;3944;0;-4374;1423;-16010;221;187;-32;1827647;500;17:31:18.924975
-10664,2611826916;-10812,5255162136;-10884,7670061269;-10169,2374448732;3944;0;-4374;1423;-16010;221;187;-32;1827648;500;17:31:18.924999
-10489,9729293647;-10599,1647277305;-10670,3932198006;-9969,69772091923;3944;0;-4374;1423;-16010;221;187;-32;1827649;500;17:31:18.925021
-10507,800679174;-10626,5620091852;-10659,1491976895;-9867,91296505194;3944;0;-4374;1423;-16010;221;187;-32;1827650;500;17:31:18.925045
-10935,0068341853;-11168,2278463825;-11115,2700662715;-10297,4865700569;3944;0;-4428;1392;-16000;174;348;-37;1827651;500;17:31:18.925073
-10815,9484977427;-10986,0478941523;-10967,3132184899;-10189,3243067346;3944;0;-4428;1392;-16000;174;348;-37;1827652;500;17:31:18.925098
