sep=;
CH1;CH2;CH3;CH4;Vbat;Trigger;AccX;AccY;AccZ;GyX;GyY;GyZ;N;fs;Timestamp
-862,617674165307;-655,812811649497;-656,059671781259;-935,049814392086;3930;0;-5341;1077;-15782;129;384;-35;1925039;500;17:34:33.876774
-396,666537659737;-171,755052748569;-234,586629746811;-568,563349277456;3930;0;-5341;1077;-15782;129;384;-35;1925040;500;17:34:33.876786
421,269051287039;781,303345969672;647,33305217292;260,704971828438;3930;0;-5332;1072;-15799;76;452;-2;1925041;500;17:34:33.876792
942,666700232529;1284,71751179252;1154,30920810027;880,338671029402;3930;0;-5332;1072;-15799;76;452;-2;1925042;500;17:34:33.876800
858,34923822443;1173,16870304504;1069,0275580655;910,661973112158;3930;0;-5332;1072;-15799;76;452;-2;1925043;500;17:34:33.876808
308,495274812778;534,851655038636;541,910205755928;414,484943724164;3930;0;-5332;1072;-15799;76;452;-2;1925044;500;17:34:33.876815
116,66453209445;340,536065048498;291,751780961763;42,6406603350893;3930;0;-5332;1072;-15799;76;452;-2;1925045;500;17:34:33.876823
-100,188459025636;77,0883629949485;67,1580298329168;-229,446733523144;3930;0;-5332;1072;-15799;76;452;-2;1925046;500;17:34:33.876831
-70,1287232650605;154,421434076869;130,216760449152;-275,382362933253;3930;0;-5332;1072;-15799;76;452;-2;1925047;500;17:34:33.876838
-399,124379325161;-262,46411229595;-235,404812654017;-614,856409423678;3930;0;-5332;1072;-15799;76;452;-2;1925048;500;17:34:33.876848
229,481088052437;556,125923853763;437,610385631955;-40,7451334323806;3930;0;-5332;1072;-15799;76;452;-2;1925049;500;17:34:33.876856
749,914965040718;1099,09041538887;1001,36769155326;557,253525719447;3930;0;-5332;1072;-15799;76;452;-2;1925050;500;17:34:33.876865
623,480837653077;912,547151760459;851,543076950694;535,02164554513;3930;0;-5226;1095;-15791;67;381;-23;1925051;500;17:34:33.876876
787,59200750676;1084,83048387122;1008,5283021455;626,895351989773;3930;0;-5226;1095;-15791;67;381;-23;1925052;500;17:34:33.876885
1101,80707922305;1365,27910158436;1264,20144396917;841,036719457262;3930;0;-5226;1095;-15791;67;381;-23;1925053;500;17:34:33.876896
946,271456807879;1098,09935408593;1032,46226552639;720,892310179296;3930;0;-5226;1095;-15791;67;381;-23;1925054;500;17:34:33.876909
833,298795161076;956,577428179116;903,719371777056;648,820483570805;3930;0;-5226;1095;-15791;67;381;-23;1925055;500;17:34:33.876928
610,61843649765;667,295278773921;667,261752857531;437,35231358175;3930;0;-5226;1095;-15791;67;381;-23;1925056;500;17:34:33.876940
985,935202464308;1158,63734908414;1031,05405761698;771,443683014786;3930;0;-5226;1095;-15791;67;381;-23;1925057;500;17:34:33.876950
495,21824169351;530,987948776409;465,101163617861;393,026559628903;3930;0;-5226;1095;-15791;67;381;-23;1925058;500;17:34:33.876961
95,1811366546592;132,99295966764;146,837249625931;0,58684054019335;3930;0;-5226;1095;-15791;67;381;-23;1925059;500;17:34:33.876973
-625,059175000919;-716,365508996456;-604,333634466371;-721,989334153384;3930;0;-5226;1095;-15791;67;381;-23;1925060;500;17:34:33.876985
-917,212457758319;-983,588948416436;-847,841671910249;-1066,95466871619;3930;0;-5143;1111;-15768;77;313;-67;1925061;500;17:34:33.876996
-1675,70672823726;-1863,05502294133;-1638,57971461857;-1783,36672322459;3930;0;-5143;1111;-15768;77;313;-67;1925062;500;17:34:33.877009
-1550,091789308;-1615,34315101409;-1451,99744269163;-1711,21874410171;3930;0;-5143;1111;-15768;77;313;-67;1925063;500;17:34:33.877022
-1609,44823119542;-1736,25025869086;-1583,0768175981;-1799,83832420647;3930;0;-5143;1111;-15768;77;313;-67;1925064;500;17:34:33.877035
-1457,31574065318;-1504,83774480578;-1401,13056490151;-1659,79797954043;3930;0;-5143;1111;-15768;77;313;-67;1925065;500;17:34:33.877049
-1515,75234417439;-1600,10867242301;-1484,98950257331;-1712,67990328765;3930;0;-5143;1111;-15768;77;313;-67;1925066;500;17:34:33.877062
-921,204742210439;-846,607013057605;-767,36573166628;-1124,42020040896;3930;0;-5143;1111;-15768;77;313;-67;1925067;500;17:34:33.877076
-1001,44907405805;-981,976426400924;-906,478202434319;-1069,55398515214;3930;0;-5143;1111;-15768;77;313;-67;1925068;500;17:34:33.877092
-550,033073378403;-431,589450181634;-465,640241234006;-639,917354786664;3930;0;-5143;1111;-15768;77;313;-67;1925069;500;17:34:33.877106
-44,741055471103;97,4469769278333;-42,1672737948294;-204,056951557332;3930;0;-5143;1111;-15768;77;313;-67;1925070;500;17:34:33.877122
377,366355932401;533,074065126592;368,301186725448;223,59773945179;3930;0;-5131;1122;-15747;97;352;-115;1925071;500;17:34:33.877137
-307,405114259085;-376,404044858853;-341,791554178399;-374,890198851144;3930;0;-5131;1122;-15747;97;352;-115;1925072;500;17:34:33.877153
-291,661957243603;-279,791740411012;-268,606181786824;-461,540538031688;3930;0;-5131;1122;-15747;97;352;-115;1925073;500;17:34:33.877170
1,31715267475798;37,7610162217396;-86,2292526705671;-228,030365800472;3930;0;-5131;1122;-15747;97;352;-115;1925074;500;17:34:33.877187
376,137660199679;478,914317182229;285,120882985818;148,498019164019;3930;0;-5131;1122;-15747;97;352;-115;1925075;500;17:34:33.877212
287,042736225181;318,859727962263;205,928148900909;128,527260042292;3930;0;-5131;1122;-15747;97;352;-115;1925076;500;17:34:33.877230
128,706695725932;125,729594707614;118,3259078487;22,7893045613308;3930;0;-5131;1122;-15747;97;352;-115;1925077;500;17:34:33.877247
-449,336747414838;-600,334281214728;-490,217616368666;-563,681547506067;3930;0;-5131;1122;-15747;97;352;-115;1925078;500;17:34:33.877264
-630,429259804397;-704,776828972548;-557,709896067752;-732,228020552865;3930;0;-5131;1122;-15747;97;352;-115;1925079;500;17:34:33.877282
-1284,88610797598;-1435,04316611037;-1193,4227195953;-1235,9985211037;3930;0;-5131;1122;-15747;97;352;-115;1925080;500;17:34:33.877301
-1372,15856370621;-1435,86773757395;-1228,52696837383;-1385,34181583989;3930;0;-5104;1133;-15724;73;273;-99;1925081;500;17:34:33.877320
-1747,94670006812;-1878,0903084187;-1677,75311429139;-1794,10047705906;3930;0;-5104;1133;-15724;73;273;-99;1925082;500;17:34:33.877339
-1560,45220068744;-1584,89564228251;-1454,84304856656;-1611,17490463714;3930;0;-5104;1133;-15724;73;273;-99;1925083;500;17:34:33.877360
-1918,35345186025;-1995,33684289635;-1764,61425302209;-1915,50704954686;3930;0;-5104;1133;-15724;73;273;-99;1925084;500;17:34:33.877379
-1359,08833150908;-1247,32178757644;-1088,91882627639;-1399,47723640655;3930;0;-5104;1133;-15724;73;273;-99;1925085;500;17:34:33.877400
-1860,71529033253;-1856,72713129155;-1664,46335607619;-1799,9576485993;3930;0;-5104;1133;-15724;73;273;-99;1925086;500;17:34:33.877420
-2055,5423000654;-2005,63808054114;-1869,49867518223;-2018,36830764427;3930;0;-5104;1133;-15724;73;273;-99;1925087;500;17:34:33.877441
-2390,80923216801;-2388,63908360768;-2208,23562505159;-2322,93582335684;3930;0;-5104;1133;-15724;73;273;-99;1925088;500;17:34:33.877463
-2127,24013193542;-2003,60280885633;-1911,61571261117;-2152,81064082995;3930;0;-5104;1133;-15724;73;273;-99;1925089;500;17:34:33.877492
-2320,82626433055;-2231,47320573638;-2114,22330100822;-2330,75522315597;3930;0;-5104;1133;-15724;73;273;-99;1925090;500;17:34:33.877517
-1612,1255329065;-1299,032004417;-1312,3510213516;-1657,16792975373;3930;0;-5122;1135;-15723;116;235;-61;1925091;500;17:34:33.877540
-1173,54622834491;-873,264516967301;-951,15773267722;-1162,99564250311;3930;0;-5122;1135;-15723;116;235;-61;1925092;500;17:34:33.877563
-489,082231736955;-83,7361528408017;-240,846649477704;-508,164256781277;3930;0;-5122;1135;-15723;116;235;-61;1925093;500;17:34:33.877586
-50,3649625705841;280,038527514806;107,351142910229;-98,9075510324994;3930;0;-5122;1135;-15723;116;235;-61;1925094;500;17:34:33.877610
313,919707996285;661,222017635758;483,89396578322;303,907813945366;3930;0;-5122;1135;-15723;116;235;-61;1925095;500;17:34:33.877962
-9,23864359449806;230,320155286703;122,934325718172;82,6791117282478;3930;0;-5122;1135;-15723;116;235;-61;1925096;500;17:34:33.877990
52,4852738668192;332,533598530856;197,485984814374;73,5234776173398;3930;0;-5122;1135;-15723;116;235;-61;1925097;500;17:34:33.878014
340,302132230951;624,337246308519;454,579146634877;334,770533898829;3930;0;-5122;1135;-15723;116;235;-61;1925098;500;17:34:33.878037
178,667877915201;397,913814137819;293,183028634234;247,347560230532;3930;0;-5122;1135;-15723;116;235;-61;1925099;500;17:34:33.878061
-435,374365678448;-363,741658959322;-392,786713189242;-337,049497918627;3930;0;-5122;1135;-15723;116;235;-61;1925100;500;17:34:33.878093
-830,680896677071;-796,151321308245;-773,261618765918;-702,522495426945;3930;0;-5173;1147;-15763;114;237;-75;1925101;500;17:34:33.878119
-1203,24494139206;-1268,31363783988;-1257,91056251959;-1236,24128644288;3930;0;-5173;1147;-15763;114;237;-75;1925102;500;17:34:33.878147
-1267,69022150341;-1283,52017415555;-1285,30128810075;-1378,99444578097;3930;0;-5173;1147;-15763;114;237;-75;1925103;500;17:34:33.878175
-1494,12991173883;-1505,44377241203;-1457,67010594499;-1578,86576846917;3930;0;-5173;1147;-15763;114;237;-75;1925104;500;17:34:33.878204
-648,645219256059;-433,762066469899;-508,997584692681;-859,437852188862;3930;0;-5173;1147;-15763;114;237;-75;1925105;500;17:34:33.878233
-34,4485476797736;232,755258196689;75,5396038642829;-217,390889634799;3930;0;-5173;1147;-15763;114;237;-75;1925106;500;17:34:33.878264
626,438387835325;974,305897551376;781,702122309326;465,752155847575;3930;0;-5173;1147;-15763;114;237;-75;1925107;500;17:34:33.878293
646,730566358228;870,666986430964;745,729447517635;515,523934325836;3930;0;-5173;1147;-15763;114;237;-75;1925108;500;17:34:33.878326
777,350673313945;965,057782866687;802,268450626828;635,617162724519;3930;0;-5173;1147;-15763;114;237;-75;1925109;500;17:34:33.878354
173,978782914295;166,117348539276;100,312784338788;62,2821503890765;3930;0;-5173;1147;-15763;114;237;-75;1925110;500;17:34:33.878390
360,14335221776;444,026518732558;302,581748911368;99,6489176004799;3930;0;-5224;1142;-15798;118;306;-87;1925111;500;17:34:33.878418
286,902318073336;376,011334051746;280,767326906653;146,16611774674;3930;0;-5224;1142;-15798;118;306;-87;1925112;500;17:34:33.878446
128,47824073912;229,731734459372;121,892855578397;51,6438466754611;3930;0;-5224;1142;-15798;118;306;-87;1925113;500;17:34:33.878473
-379,55250337592;-366,927437968397;-427,393180633529;-392,99528577409;3930;0;-5224;1142;-15798;118;306;-87;1925114;500;17:34:33.878503
-192,068301479115;-71,1675250143619;-196,276024883235;-247,077050474723;3930;0;-5224;1142;-15798;118;306;-87;1925115;500;17:34:33.878531
-110,605028187615;-51,1766690975152;-187,182914262831;-192,33305318363;3930;0;-5224;1142;-15798;118;306;-87;1925116;500;17:34:33.878560
533,00334717464;735,129328701633;530,059720588061;433,545196020968;3930;0;-5224;1142;-15798;118;306;-87;1925117;500;17:34:33.878590
146,95964858441;225,936702850799;85,7973295321219;151,45229600703;3930;0;-5224;1142;-15798;118;306;-87;1925118;500;17:34:33.878619
314,725335171241;462,137539841765;272,698032178292;252,54300902252;3930;0;-5224;1142;-15798;118;306;-87;1925119;500;17:34:33.878645
333,449565399496;460,205397842506;249,345223689608;304,087654864684;3930;0;-5224;1142;-15798;118;306;-87;1925120;500;17:34:33.878846
640,00802433488;843,721969821302;541,777332994833;603,045526444157;3930;0;-5220;1135;-15802;129;371;-51;1925121;500;17:34:33.878865
808,758799006127;1000,57864678044;681,476604763983;824,181696607721;3930;0;-5220;1135;-15802;129;371;-51;1925122;500;17:34:33.878884
627,1779573442;775,195781196843;545,495307257021;758,06046796235;3930;0;-5220;1135;-15802;129;371;-51;1925123;500;17:34:33.878902
201,118143582182;297,146998806564;165,364802884139;391,61671507349;3930;0;-5220;1135;-15802;129;371;-51;1925124;500;17:34:33.878921
-398,710357883411;-327,406078190104;-375,157511739271;-140,670966274566;3930;0;-5220;1135;-15802;129;371;-51;1925125;500;17:34:33.878946
