CH1,CH2,CH3,CH4,Timestamp
2.5660194667266154,-8.478374360021077,-11.615907972244718,1.5324092357545471,1731337436.787568
13.4618796243414,-76.31198192107475,-101.25723239686542,6.407336081395071,1731337436.787572
18.66800606518091,-337.3089129623913,-433.7000469347248,-3.0062650524841095,1731337436.7875736
-55.8515071976235,-988.5649142339882,-1233.8099578331007,-93.77584521902276,1731337436.7875738
-343.5502980237021,-2183.012291174854,-2651.151488511817,-376.93595035300143,1731337436.7875764
-966.4789970848199,-3898.9807423210887,-4619.055234689448,-947.2327410624556,1731337436.7875767
-1940.3346363219111,-5879.157853537933,-6808.762825793866,-1807.228820575779,1731337436.7875812
-3121.0758636256382,-7678.3109828689885,-8706.090440221087,-2827.1158892023586,1731337436.7875817
-4223.283054311241,-8792.333184323146,-9766.795583934414,-3762.4060910245953,1731337436.787584
-4898.91237269243,-8812.785445962756,-9585.46520199094,-4320.164470602653,1731337436.7875843
-4845.077096958426,-7561.003185249545,-8030.9594510744355,-4249.598385891342,1731337436.7875865
-3908.785646321303,-5168.895545666193,-5316.3861365065095,-3430.3921353935,1731337436.787587
-2156.9882770386976,-2070.428981597506,-1966.6193258556304,-1929.6183106684912,1731337436.7875948
121.29661905948888,1120.8769493500004,1337.409130709013,1.732098412612686,1731337436.7875953
2497.409478173897,3817.4853254085174,3991.8434685239918,2002.8667743166297,1731337436.7875967
4545.442703080742,5656.027670301031,5673.638457108114,3722.9924190376187,1731337436.7875974
3.7260870469086074,11.147377817974133,12.545866329921413,3.1866364257001885,1731337436.7876003
33.50273509693231,90.78115770568165,101.2644215783082,28.614849660526968,1731337436.7876089
148.72043686140665,362.2632963727105,399.6272917633778,126.81177718928996,1731337436.7876108
440.2622521936009,960.282759531448,1044.9315116018722,374.53545236381774,1731337436.7876112
985.7907325412407,1921.331340036676,2055.6401662921276,835.7112463934644,1731337436.7876136
1782.3699682410913,3093.920593377,3239.7171264151957,1503.4096227794455,1731337436.787614
2691.4349436328343,4127.352003776524,4198.167903650729,2254.801845858243,1731337436.7876167
3435.1272075678626,4567.41828334246,4447.6255830428145,2852.5908528784157,1731337436.7876172
3666.075930546722,4032.2128820116923,3619.82796380698,3007.831310163412,1731337436.78762
3091.289564051105,2382.216329855495,1635.4242689157109,2483.7849738592377,1731337436.7876203
1593.216259460154,-203.62880809920898,-1239.783132132834,1193.20817251482,1731337436.7876232
-710.6710602346502,-3277.5513890332804,-4476.162328554419,-756.3616057938052,1731337436.7876236
-3493.641155490128,-6264.939824042507,-7449.932964947089,-3086.374680407069,1731337436.7876253
-6313.7515915851545,-8637.584898824949,-9631.246070580746,-5426.346827708825,1731337436.7876256
-8739.650961116422,-10067.277472877191,-10738.898739137192,-7419.811254618908,1731337436.787628
-10472.692455446842,-10523.964862593304,-10826.759046593783,-8827.175051476457,1731337436.7876282
-11432.189596472483,-10281.607693155078,-10264.379047699724,-9594.68623777965,1731337436.78763
-11769.592259732643,-9806.950340536234,-9591.492842505657,-9860.163404580482,1731337436.7876303
-11794.691478637236,-9562.80136537402,-9293.120690362928,-9885.613909262545,1731337436.787633
-11839.157890155446,-9816.628759961648,-9602.309400870057,-9942.392410161701,1731337436.7876332
-12118.887113669756,-10545.138224944414,-10424.169094764315,-10200.18067342326,1731337436.7876348
-12655.955931674544,-11466.732442875771,-11400.860119842604,-10666.85961431652,1731337436.787635
-13285.629802310606,-12168.718686540014,-12067.975339590863,-11197.305151146866,1731337436.7876372
-13733.86005882331,-12269.60768398142,-12033.325332735956,-11559.001014934212,1731337436.7876377
-13730.544013812323,-11566.284445304249,-11126.91974216362,-11527.41596129915,1731337436.7876463
-13122.103633591323,-10128.062209846394,-9485.093199426949,-10980.772397948429,1731337436.7876465
-11948.676529222052,-8298.988478544343,-7529.388891067356,-9962.651602184807,1731337436.7876484
-10452.157153987908,-6584.7459255140275,-5820.825329642859,-8683.44018624362,1731337436.787649
